value_2025,value_2021,count,fuel_2021,fuel_2025,area_ha
26,2,85,PCH2,PL08,7.65
18,20,84,PL02,BN05,7.56
22,11,84,MT06,PL04,7.56
26,23,84,PL05,PL08,7.56
26,28,83,PL10,PL08,7.47
20,4,81,PCH4,PL02,7.29
26,24,81,PL06,PL08,7.29
29,18,81,BN05,PL11,7.29
14,5,78,PCH5,BN01,7.02
22,4,78,PCH4,PL04,7.02
23,3,78,PCH3,PL05,7.02
24,11,78,MT06,PL06,7.02
28,6,78,MT01,PL10,7.02
34,28,77,PL10,SV03,6.93
3,23,76,PL05,PCH3,6.84
17,14,76,BN01,BN04,6.84
28,7,76,MT02,PL10,6.84
12,33,75,SV02,MT07,6.75
18,3,75,PCH3,BN05,6.75
23,17,75,BN04,PL05,6.75
1,18,74,BN05,PCH1,6.66
25,30,74,DX01,PL07,6.66
28,34,74,SV03,PL10,6.66
29,8,74,MT03,PL11,6.66
18,26,73,PL08,BN05,6.57
22,18,73,BN05,PL04,6.57
9,16,72,BN03,MT04,6.48
23,28,71,PL10,PL05,6.39
6,22,69,PL04,MT01,6.21
23,25,69,PL07,PL05,6.21
27,25,69,PL07,PL09,6.21
32,30,69,DX01,SV01,6.21
34,11,69,MT06,SV03,6.21
16,14,68,BN01,BN03,6.12
7,13,67,MT08,MT02,6.03
12,27,66,PL09,MT07,5.94
18,34,66,SV03,BN05,5.94
18,24,65,PL06,BN05,5.85
1,11,64,MT06,PCH1,5.76
3,24,64,PL06,PCH3,5.76
9,30,64,DX01,MT04,5.76
12,25,64,PL07,MT07,5.76
18,21,64,PL03,BN05,5.76
25,2,63,PCH2,PL07,5.67
30,28,63,PL10,DX01,5.67
33,12,62,MT07,SV02,5.58
5,12,61,MT07,PCH5,5.49
11,12,61,MT07,MT06,5.49
28,26,61,PL08,PL10,5.49
6,32,60,SV01,MT01,5.4
18,28,60,PL10,BN05,5.4
21,18,60,BN05,PL03,5.4
23,12,59,MT07,PL05,5.31
28,2,59,PCH2,PL10,5.31
8,27,58,PL09,MT03,5.22
2,8,57,MT03,PCH2,5.13
8,9,57,MT04,MT03,5.13
27,1,57,PCH1,PL09,5.13
12,22,56,PL04,MT07,5.04
18,1,56,PCH1,BN05,5.04
27,12,56,MT07,PL09,5.04
28,30,56,DX01,PL10,5.04
30,9,56,MT04,DX01,5.04
4,29,55,PL11,PCH4,4.95
25,21,55,PL03,PL07,4.95
29,4,55,PCH4,PL11,4.95
13,29,54,PL11,MT08,4.86
4,24,53,PL06,PCH4,4.77
14,33,53,SV02,BN01,4.77
28,32,53,SV01,PL10,4.77
32,23,53,PL05,SV01,4.77
13,5,52,PCH5,MT08,4.68
13,26,52,PL08,MT08,4.68
26,17,52,BN04,PL08,4.68
34,4,52,PCH4,SV03,4.68
22,32,51,SV01,PL04,4.59
32,8,51,MT03,SV01,4.59
12,21,50,PL03,MT07,4.5
23,9,50,MT04,PL05,4.5
30,24,49,PL06,DX01,4.41
32,28,49,PL10,SV01,4.41
25,23,47,PL05,PL07,4.23
30,1,47,PCH1,DX01,4.23
6,8,46,MT03,MT01,4.14
8,24,46,PL06,MT03,4.14
12,11,46,MT06,MT07,4.14
14,21,46,PL03,BN01,4.14
4,26,45,PL08,PCH4,4.05
25,3,45,PCH3,PL07,4.05
28,11,45,MT06,PL10,4.05
4,25,44,PL07,PCH4,3.96
14,29,44,PL11,BN01,3.96
22,9,44,MT04,PL04,3.96
7,8,43,MT03,MT02,3.87
33,13,43,MT08,SV02,3.87
8,26,42,PL08,MT03,3.78
8,20,41,PL02,MT03,3.69
8,32,41,SV01,MT03,3.69
27,11,41,MT06,PL09,3.69
